,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
0,0.00,0.00,0.00,0.00,0.00,Action,ROAD APP,iOS,N/A,170001,N/A
1,0.00,0.00,0.00,0.00,0.00,Action,FREEIP PRO,iOS,N/A,170002,N/A
2,0.00,0.00,0.00,0.00,0.00,Action,Enchora,iOS,N/A,170003,N/A
3,0.00,0.00,0.00,0.00,0.00,Action,Fry Chicks,iOS,N/A,170004,N/A
4,0.00,0.00,0.00,0.00,0.00,Action,The Swag Shop,iOS,N/A,170005,N/A
5,0.00,0.00,0.00,0.00,0.00,Action,Devex Jobs,iOS,N/A,170006,N/A
6,0.00,0.00,0.00,0.00,0.00,Action,Free Cartoon Little Princess Games Jigsaw Puzzle,iOS,N/A,170007,N/A
7,0.00,0.00,0.00,0.00,0.00,Action,Dinosaur Simulator - Tyrannosaurus Special,iOS,N/A,170008,N/A
8,0.00,0.00,0.00,0.00,0.00,Action,Getting Ready 2017,iOS,N/A,170009,N/A
9,0.00,0.00,0.00,0.00,0.00,Action,Motorbike Highway Racer,iOS,N/A,170010,N/A
10,0.00,0.00,0.00,0.00,0.00,Action,AirBici,iOS,N/A,170011,N/A
11,0.00,0.00,0.00,0.00,0.00,Action,TheRosterMonster,iOS,N/A,170012,N/A
12,0.00,0.00,0.00,0.00,0.00,Platform,'Splosion Man,X360,Microsoft Game Studios,170013,2009
13,0.00,0.00,0.00,0.00,0.00,Role-Playing,Madou Monogatari: Hanamaru Daiyouchi Enji,SNES,Tokuma Shoten,170014,1996
14,0.00,0.00,0.00,0.00,0.00,Puzzle,Outpuzzled: Dinosaurs 2,iOS,Unknown,170015,2011
15,0.00,0.00,0.00,0.00,0.00,Misc,Lovers Tic Tac Toe,iOS,N/A,170016,N/A
16,0.00,0.00,0.00,0.00,0.00,Action,Sprinkle Junior,iOS,N/A,170017,N/A
17,0.00,0.00,0.00,0.00,0.00,Action,Block Hunt FPS original - Mine Mini Survival Shooter & Multiplayer game,iOS,N/A,170018,N/A
18,0.00,0.00,0.00,0.00,0.00,Action,0320werkt,iOS,N/A,170019,N/A
19,0.00,0.00,0.00,0.00,0.00,Action,Auto Repair Inc.,iOS,N/A,170020,N/A
20,0.00,0.00,0.00,0.00,0.00,Action,Data Flow Group,iOS,N/A,170021,N/A
21,0.00,0.00,0.00,0.00,0.00,Action,The Future of Consulting 2016,iOS,N/A,170022,N/A
22,0.00,0.00,0.00,0.00,0.00,Action,Pet Stars Care 2 - Fantasy JungleCute Owl Makeup And SPA,iOS,N/A,170023,N/A
23,0.00,0.00,0.00,0.00,0.00,Action,"Dusseldorf, Germany GPS - Offline Car Navigation",iOS,N/A,170024,N/A
24,0.00,0.00,0.00,0.00,0.00,Action,Yoga-Reveal,iOS,N/A,170025,N/A
25,0.00,0.00,0.00,0.00,0.00,Action,1775: Rebellion,iOS,N/A,170026,N/A
26,0.00,0.00,0.00,0.00,0.00,Action,Top Casino Alvez - Free  SloTs Summer,iOS,N/A,170027,N/A
27,0.00,0.00,0.00,0.00,0.00,Action,Stephenville ISD,iOS,N/A,170028,N/A
28,0.00,0.00,0.00,0.00,0.00,Action,Family Game Ninjago For Fun Edition,iOS,N/A,170029,N/A
29,0.00,0.00,0.00,0.00,0.00,Action,Hombot-v2,iOS,N/A,170030,N/A
30,0.00,0.00,0.00,0.00,0.00,Action,Olivia Honeymoon Registry,iOS,N/A,170031,N/A
31,0.00,0.00,0.00,0.00,0.00,Action,ROYAL FITNESS,iOS,N/A,170032,N/A
32,0.00,0.00,0.00,0.00,0.00,Action,Asterix,NES,Infogrames,170033,1992
33,0.00,0.00,0.00,0.00,0.00,Puzzle,Ranma 1/2:Kakuren Bodesu Match,GB,Banpresto,170034,1990
34,0.00,0.00,0.00,0.00,0.00,Misc,Exian,iOS,N/A,170035,N/A
35,0.00,0.00,0.00,0.00,0.00,Action,?????? ??? ???? ??? ?????,iOS,N/A,170036,N/A
36,0.00,0.00,0.00,0.00,0.00,Action,Tractor Games - Crazy Tractor 2016,iOS,N/A,170037,N/A
37,0.00,0.00,0.00,0.00,0.00,Action,Criminal Agent Invesigation,iOS,N/A,170038,N/A
38,0.00,0.00,0.00,0.00,0.00,Action,Delish,iOS,N/A,170039,N/A
39,0.00,0.00,0.00,0.00,0.00,Action,Life of Dad,iOS,N/A,170040,N/A
40,0.00,0.00,0.00,0.00,0.00,Action,Edirne Tourism Guide,iOS,N/A,170041,N/A
41,0.00,0.00,0.00,0.00,0.00,Action,ILS,iOS,N/A,170042,N/A
42,0.00,0.00,0.00,0.00,0.00,Action,Red door,iOS,N/A,170043,N/A
43,0.00,0.00,0.00,0.00,0.00,Action,Beautiful Skins for Minecraft PE & PC Edition,iOS,N/A,170044,N/A
44,0.00,0.00,0.00,0.00,0.00,Action,A Best Contestant Car Pro : Flame Speedway,iOS,N/A,170045,N/A
45,0.00,0.00,0.00,0.00,0.00,Action,Scarlett The Embarrassing Cat English Stickers,iOS,N/A,170046,N/A
46,0.00,0.00,0.00,0.00,0.00,Action,Hamptonality Stickers,iOS,N/A,170047,N/A
47,0.00,0.00,0.00,0.00,0.00,Action,Acuerdo - Chile - UE,iOS,N/A,170048,N/A
