,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
0,0.00,0.00,0.00,0.00,0.00,Sports,2002 FIFA World Cup,PS,Electronic Arts,40001,2002
1,0.00,0.00,0.00,0.00,0.00,Puzzle,Puyo Puyo Fever 2 [Chuu!],PSP,Sega,40002,2005
2,0.00,0.00,0.00,0.00,0.00,Misc,Dance Fest,PS2,Oxygen Interactive,40003,2006
3,0.00,0.00,0.00,0.00,0.00,Action,Wedgie Toss,iOS,N/A,40004,N/A
4,0.00,0.00,0.00,0.00,0.00,Action,MAXIMUM RACER TOUCH,iOS,N/A,40005,N/A
5,0.00,0.00,0.00,0.00,0.00,Shooter,BigHead Bash,PC,N/A,40006,N/A
6,0.00,0.00,0.00,0.00,0.00,Action,R.U.S. Real Ufo Simulator,And,FobTi Interactive,40007,2014
7,0.00,0.00,0.00,0.00,0.00,Action,Angel Battle Force Shooter Pro - new power shooting fantasy game,iOS,N/A,40008,N/A
8,0.00,0.00,0.00,0.00,0.00,Action,Best Rack Royal Slots - Free Star City Slots,iOS,N/A,40009,N/A
9,0.00,0.00,0.00,0.00,0.00,Action,Management Park,iOS,N/A,40010,N/A
10,0.00,0.00,0.00,0.00,0.00,Action,Ace Casino Spin Reel - Free Entertainment Slots,iOS,N/A,40011,N/A
11,0.00,0.00,0.00,0.00,0.00,Action,Emisoras de Radios de El Salvador AM FM Gratis,iOS,N/A,40012,N/A
12,0.00,0.00,0.00,0.00,0.00,Action,Create your own charades,iOS,N/A,40013,N/A
13,0.00,0.00,0.00,0.00,0.00,Action,bloomtown - flowers in a breeze,iOS,N/A,40014,N/A
14,0.00,0.00,0.00,0.00,0.00,Action,Bonicula World,iOS,N/A,40015,N/A
15,0.00,0.00,0.00,0.00,0.00,Action,Leader-??,iOS,N/A,40016,N/A
16,0.00,0.00,0.00,0.00,0.00,Action,Coming Soon Cogs in Moon,iOS,N/A,40017,N/A
17,0.00,0.00,0.00,0.00,0.00,Action,PRO-KIN,iOS,N/A,40018,N/A
18,0.00,0.00,0.00,0.00,0.00,Action,New York Food Inspections - New York Food Health,iOS,N/A,40019,N/A
19,0.00,0.00,0.00,0.00,0.00,Action,AFPAS,iOS,N/A,40020,N/A
20,0.00,0.00,0.00,0.00,0.00,Action,Halloween - House Design,iOS,N/A,40021,N/A
21,0.00,0.00,0.00,0.00,0.00,Racing,Top Gear 2,SNES,Kemco,40022,1993
22,0.00,0.00,0.00,0.00,0.00,Action,ilomilo,X360,Microsoft Game Studios,40023,2011
23,0.00,0.00,0.00,0.00,0.00,Action,Necrorun,iOS,N/A,40024,N/A
24,0.00,0.00,0.00,0.00,0.00,Shooter,SEncounter,X360,Microsoft Game Studios,40025,2011
25,0.00,0.00,0.00,0.00,0.00,Simulation,Star Wars Pinball,PSV,N/A,40026,N/A
26,0.00,0.00,0.00,0.00,0.00,Action,Hunter Games- Mini Mine Survival Game in 3D Blocks,iOS,N/A,40027,N/A
27,0.00,0.00,0.00,0.00,0.00,Action,English To Kyrgyz Dictionary,iOS,N/A,40028,N/A
28,0.00,0.00,0.00,0.00,0.00,Action,"Beautiful Wizard - Make up, Dream,Girl Free Games",iOS,N/A,40029,N/A
29,0.00,0.00,0.00,0.00,0.00,Action,BPCO,iOS,N/A,40030,N/A
30,0.00,0.00,0.00,0.00,0.00,Action,Fire On Two Wheels Pro - A Crazy Motocross Game In The Highway,iOS,N/A,40031,N/A
31,0.00,0.00,0.00,0.00,0.00,Action,Royal Princess  Retro Style Makeover Salon Game for Girls,iOS,N/A,40032,N/A
32,0.00,0.00,0.00,0.00,0.00,Action,AME Lean Sensei,iOS,N/A,40033,N/A
33,0.00,0.00,0.00,0.00,0.00,Action,Event Hunter,iOS,N/A,40034,N/A
34,0.00,0.00,0.00,0.00,0.00,Action,White Noise - Meditation,iOS,N/A,40035,N/A
35,0.00,0.00,0.00,0.00,0.00,Action,Faroe Islands Offline Travel Map Guide,iOS,N/A,40036,N/A
36,0.00,0.00,0.00,0.00,0.00,Shooter,Star Wars Battlefront II (2017),PC,Electronic Arts,40037,2017
37,0.00,0.00,0.00,0.00,0.00,Action,Flower Coloring Pages - Relaxing Music Art Therapy,iOS,N/A,40038,N/A
38,0.00,0.00,0.00,0.00,0.00,Action,Cooking Colorful Cupcakes Game! Rainbow Desserts,iOS,N/A,40039,N/A
39,0.00,0.00,0.00,0.00,0.00,Action,My Why - Share what youre feeling,iOS,N/A,40040,N/A
40,0.00,0.00,0.00,0.00,0.00,Action,Flying Warriors,NES,Culture Brain,40041,1991
41,0.00,0.00,0.00,0.00,0.00,Shooter,Layer Section II,SAT,MediaQuest,40042,1997
42,0.00,0.00,0.00,0.00,0.00,Misc,Capcom Generation 3: Dai 3 Shuu Koko ni Rekishi Hajimaru,PS,Capcom,40043,1998
