,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
0,0.00,0.00,0.00,0.00,0.00,Sports,Derby Tsuku 2,DC,Sega,150001,2001
1,0.00,0.00,0.00,0.00,0.00,Strategy,Teitoku no Ketsudan III,PS,Tecmo Koei,150002,1997
2,0.00,0.00,0.00,0.00,0.00,Misc,Skyscraper Maker,iOS,Unknown,150003,2010
3,0.00,0.00,0.00,0.00,0.00,Action,Army Juggler,iOS,N/A,150004,N/A
4,0.00,0.00,0.00,0.00,0.00,Action,Gem Rocket Robot,iOS,N/A,150005,N/A
5,0.00,0.00,0.00,0.00,0.00,Action,Deluxe 7 Spades Revenge - Free Slots Gambler Game,iOS,N/A,150006,N/A
6,0.00,0.00,0.00,0.00,0.00,Action,Escape Game - Zombie House Breakout 6,iOS,N/A,150007,N/A
7,0.00,0.00,0.00,0.00,0.00,Action,Peerfest,iOS,N/A,150008,N/A
8,0.00,0.00,0.00,0.00,0.00,Action,SimplySudoku- Free Sudoku Game!!,iOS,N/A,150009,N/A
9,0.00,0.00,0.00,0.00,0.00,Action,Jolina Carl,iOS,N/A,150010,N/A
10,0.00,0.00,0.00,0.00,0.00,Action,Hot lot Flat Top Paradise - Free Las Vegas Machines,iOS,N/A,150011,N/A
11,0.00,0.00,0.00,0.00,0.00,Action,Better  Take yourself to the next level,iOS,N/A,150012,N/A
12,0.00,0.00,0.00,0.00,0.00,Action,PuppetShow: The Face of Humanity Full,iOS,N/A,150013,N/A
13,0.00,0.00,0.00,0.00,0.00,Action,Secret Calling At London Palace Pro,iOS,N/A,150014,N/A
14,0.00,0.00,0.00,0.00,0.00,Action,Action On W Avenue PRO: Powerful Tanks,iOS,N/A,150015,N/A
15,0.00,0.00,0.00,0.00,0.00,Action,Rapid Racing2017,iOS,N/A,150016,N/A
16,0.00,0.00,0.00,0.00,0.00,Action,Fronteira Pizzaria,iOS,N/A,150017,N/A
17,0.00,0.00,0.00,0.00,0.00,Action,Child Safety Good Touch & Bad Touch,iOS,N/A,150018,N/A
18,0.00,0.00,0.00,0.00,0.00,Action,Bellevue Christian School,iOS,N/A,150019,N/A
19,0.00,0.00,0.00,0.00,0.00,Fighting,Angel Eyes,PS,Tecmo Koei,150020,1997
20,0.00,0.00,0.00,0.00,0.00,Strategy,Constructor,PS,Acclaim Entertainment,150021,1997
21,0.00,0.00,0.00,0.00,0.00,Role-Playing,Romancing SaGa 3,Wii,Square Enix,150022,2010
22,0.00,0.00,0.00,0.00,0.00,Strategy,Queens Move,iOS,N/A,150023,N/A
23,0.00,0.00,0.00,0.00,0.00,Action,BeatTheBug,iOS,N/A,150024,N/A
24,0.00,0.00,0.00,0.00,0.00,Misc,Flying Chick,iOS,N/A,150025,N/A
25,0.00,0.00,0.00,0.00,0.00,Misc,Rage of Bahamut,And,N/A,150026,N/A
26,0.00,0.00,0.00,0.00,0.00,Action,Publications Reader,iOS,N/A,150027,N/A
27,0.00,0.00,0.00,0.00,0.00,Action,Mahjong Lonely Island,iOS,N/A,150028,N/A
28,0.00,0.00,0.00,0.00,0.00,Action,Touch The Rope PRO - Race of Switch Robots Mobile Game,iOS,N/A,150029,N/A
29,0.00,0.00,0.00,0.00,0.00,Action,VR Fish JoyRide Run: Run on Water Pro,iOS,N/A,150030,N/A
30,0.00,0.00,0.00,0.00,0.00,Action,Shelf Maker  Blur : Home Screen Designer Icon Wallpaper For Pro,iOS,N/A,150031,N/A
31,0.00,0.00,0.00,0.00,0.00,Action,My GoInsurance Online,iOS,N/A,150032,N/A
32,0.00,0.00,0.00,0.00,0.00,Action,Anti Age Magazine Europe,iOS,N/A,150033,N/A
33,0.00,0.00,0.00,0.00,0.00,Action,Baptist Health System Pharmacy,iOS,N/A,150034,N/A
34,0.00,0.00,0.00,0.00,0.00,Action,Extra Toy Logic game for toddlers and kids,iOS,N/A,150035,N/A
35,0.00,0.00,0.00,0.00,0.00,Action,The Handshake by Made in Utica,iOS,N/A,150036,N/A
36,0.00,0.00,0.00,0.00,0.00,Action,Brick Bombardment,iOS,N/A,150037,N/A
37,0.00,0.00,0.00,0.00,0.00,Action,Ersal - Courier Delivery,iOS,N/A,150038,N/A
38,0.00,0.00,0.00,0.00,0.00,Sports,NES Play Action Football,NES,Nintendo,150039,1990
39,0.00,0.00,0.00,0.00,0.00,Fighting,Samurai Shodown V Special,NG,SNK Playmore,150040,2004
40,0.00,0.00,0.00,0.00,0.00,Adventure,Yume no Tsubasa: Fate of Heart,DC,KID,150041,2001
41,0.00,0.00,0.00,0.00,0.00,Sports,Arcade Action Sports,iOS,Unknown,150042,2010
42,0.00,0.00,0.00,0.00,0.00,Action,Wild Frontier,iOS,N/A,150043,N/A
43,0.00,0.00,0.00,0.00,0.00,Puzzle,The Maze Gamer,iOS,N/A,150044,N/A
44,0.00,0.00,0.00,0.00,0.00,Action,Shapes Toddler Preschool,iOS,N/A,150045,N/A
45,0.00,0.00,0.00,0.00,0.00,Action,"Sprint, Yankee Soul",iOS,N/A,150046,N/A
46,0.00,0.00,0.00,0.00,0.00,Action,Russian Thai Translator,iOS,N/A,150047,N/A
47,0.00,0.00,0.00,0.00,0.00,Action,DOMODI,iOS,N/A,150048,N/A
48,0.00,0.00,0.00,0.00,0.00,Action,Big Fish Slots !!!,iOS,N/A,150049,N/A
49,0.00,0.00,0.00,0.00,0.00,Action,????????????????????!?????????,iOS,N/A,150050,N/A
50,0.00,0.00,0.00,0.00,0.00,Action,Colour Collide FREE,iOS,N/A,150051,N/A
51,0.00,0.00,0.00,0.00,0.00,Action,Henrys Pizza & Kebab Waterloo,iOS,N/A,150052,N/A
52,0.00,0.00,0.00,0.00,0.00,Action,MotionMount,iOS,N/A,150053,N/A
53,0.00,0.00,0.00,0.00,0.00,Action,Mlp Coloring For Game Best Kid Episod,iOS,N/A,150054,N/A
54,0.00,0.00,0.00,0.00,0.00,Action,HTM Ticket,iOS,N/A,150055,N/A
55,0.00,0.00,0.00,0.00,0.00,Action,Maryland - State Parks,iOS,N/A,150056,N/A
56,0.00,0.00,0.00,0.00,0.00,Action,MurdochSafe,iOS,N/A,150057,N/A
57,0.00,0.00,0.00,0.00,0.00,Action,Creative Review Jobs,iOS,N/A,150058,N/A
58,0.00,0.00,0.00,0.00,0.00,Action,Pixel Volley,iOS,N/A,150059,N/A
59,0.00,0.00,0.00,0.00,0.00,Action,League of Extraordinary Humans,iOS,N/A,150060,N/A
60,0.00,0.00,0.00,0.00,0.00,Strategy,The Third World War,SCD,Micronet,150061,1993
61,0.00,0.00,0.00,0.00,0.00,Racing,Glacier 3: The Meltdown,Wii,Funbox Media,150062,2010
62,0.00,0.00,0.00,0.00,0.00,Misc,Dr. Seuss Reading Games,PC,N/A,150063,N/A
63,0.00,0.00,0.00,0.00,0.00,Role-Playing,Clan of Champions,X360,N/A,150064,N/A
64,0.00,0.00,0.00,0.00,0.00,Action,Mirrors of Albion,iOS,N/A,150065,N/A
65,0.00,0.00,0.00,0.00,0.00,Action,2048 Number Puzzle game,iOS,N/A,150066,N/A
66,0.00,0.00,0.00,0.00,0.00,Action,inmind - Win Forever,iOS,N/A,150067,N/A
67,0.00,0.00,0.00,0.00,0.00,Action,Paint For Kids Mr Bean Meme Edition,iOS,N/A,150068,N/A
68,0.00,0.00,0.00,0.00,0.00,Action,Solitaire Dream Forest: Cards - Pyramid Tri Peaks Card Game,iOS,N/A,150069,N/A
69,0.00,0.00,0.00,0.00,0.00,Action,888 Best Aristocrat - FREE Slots Machine Tournament Game,iOS,N/A,150070,N/A
70,0.00,0.00,0.00,0.00,0.00,Action,A New 777 Vegans Slots FREE 2016,iOS,N/A,150071,N/A
71,0.00,0.00,0.00,0.00,0.00,Action,Darkest Light: Goosebumps in the night,iOS,N/A,150072,N/A
72,0.00,0.00,0.00,0.00,0.00,Action,Multilevel car parking game for kids- Ultra Racing,iOS,N/A,150073,N/A
73,0.00,0.00,0.00,0.00,0.00,Action,Slots Adventure Heart Of Slot Machine - Free Game,iOS,N/A,150074,N/A
74,0.00,0.00,0.00,0.00,0.00,Action,DT Facility Manager,iOS,N/A,150075,N/A
75,0.00,0.00,0.00,0.00,0.00,Action,YORK Affinity,iOS,N/A,150076,N/A
76,0.00,0.00,0.00,0.00,0.00,Action,Stylish Crazy Stunt Bike Pro,iOS,N/A,150077,N/A
77,0.00,0.00,0.00,0.00,0.00,Action,CondoAssist,iOS,N/A,150078,N/A
78,0.00,0.00,0.00,0.00,0.00,Action,Blend Photos Camera Effects to Merge Your Pics,iOS,N/A,150079,N/A
79,0.00,0.00,0.00,0.00,0.00,Action,RTRWC MERCHANT,iOS,N/A,150080,N/A
80,0.00,0.00,0.00,0.00,0.00,Action,MYFITFOOD BUSINESS,iOS,N/A,150081,N/A
81,0.00,0.00,0.00,0.00,0.00,Misc,Painting Party,X360,Microsoft Game Studios,150082,2009
82,0.00,0.00,0.00,0.00,0.00,Action,ALF: The First Adventure,PC,Unknown,150083,1986
83,0.00,0.00,0.00,0.00,0.00,Strategy,PANDA REVERSE TOUCH,iOS,N/A,150084,N/A
84,0.00,0.00,0.00,0.00,0.00,Adventure,Primordia,PC,Wadjet Eye Games,150085,2012
85,0.00,0.00,0.00,0.00,0.00,Action,Razor Global Domination Pro Tour,XOne,N/A,150086,N/A
86,0.00,0.00,0.00,0.00,0.00,Action,nemCheck-in,iOS,N/A,150087,N/A
87,0.00,0.00,0.00,0.00,0.00,Action,?? QR ??,iOS,N/A,150088,N/A
88,0.00,0.00,0.00,0.00,0.00,Action,Orquesta de la Diversidad,iOS,N/A,150089,N/A
89,0.00,0.00,0.00,0.00,0.00,Action,Petrified Forest National Park Guide,iOS,N/A,150090,N/A
90,0.00,0.00,0.00,0.00,0.00,Action,Smart Community Gateway,iOS,N/A,150091,N/A
91,0.00,0.00,0.00,0.00,0.00,Action,Dublin Offline City Travel Guide,iOS,N/A,150092,N/A
92,0.00,0.00,0.00,0.00,0.00,Action,Mi Ruta Paps,iOS,N/A,150093,N/A
93,0.00,0.00,0.00,0.00,0.00,Action,27.Liffe,iOS,N/A,150094,N/A
94,0.00,0.00,0.00,0.00,0.00,Action,Accounts IOM,iOS,N/A,150095,N/A
95,0.00,0.00,0.00,0.00,0.00,Action,Robert Luo,iOS,N/A,150096,N/A
96,0.00,0.00,0.00,0.00,0.00,Action,???????? - ??????????? ? ??????,iOS,N/A,150097,N/A
