,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
0,0.00,0.00,0.00,0.00,0.00,Misc,Pin & Ball,iOS,N/A,80001,N/A
1,0.00,0.00,0.00,0.00,0.00,Role-Playing,The Tribez,BRW,N/A,80002,N/A
2,0.00,0.00,0.00,0.00,0.00,Action,113,iOS,N/A,80003,N/A
3,0.00,0.00,0.00,0.00,0.00,Action,???? - ???? ???? No.1,iOS,N/A,80004,N/A
4,0.00,0.00,0.00,0.00,0.00,Action,Station de Trail,iOS,N/A,80005,N/A
5,0.00,0.00,0.00,0.00,0.00,Action,Uni Kln Navi on Campus,iOS,N/A,80006,N/A
6,0.00,0.00,0.00,0.00,0.00,Action,Pang Adventures,iOS,N/A,80007,N/A
7,0.00,0.00,0.00,0.00,0.00,Action,Bike Racing 2:Multiplayer,iOS,N/A,80008,N/A
8,0.00,0.00,0.00,0.00,0.00,Action,????-??????????mmo??,iOS,N/A,80009,N/A
9,0.00,0.00,0.00,0.00,0.00,Action,E-???????,iOS,N/A,80010,N/A
10,0.00,0.00,0.00,0.00,0.00,Action,Angry Frog Pro: Shoot Fast and collect flies,iOS,N/A,80011,N/A
11,0.00,0.00,0.00,0.00,0.00,Action,Kahinn,iOS,N/A,80012,N/A
12,0.00,0.00,0.00,0.00,0.00,Action,Butiik,iOS,N/A,80013,N/A
13,0.00,0.00,0.00,0.00,0.00,Action,Cursive Writing - ABC Kids,iOS,N/A,80014,N/A
14,0.00,0.00,0.00,0.00,0.00,Action,Gore User Trials,iOS,N/A,80015,N/A
15,0.00,0.00,0.00,0.00,0.00,Action,Kalendarz ?wi?t Nietypowych,iOS,N/A,80016,N/A
16,0.00,0.00,0.00,0.00,0.00,Action,Mister Chapa Quente Lanches Delivery,iOS,N/A,80017,N/A
17,0.00,0.00,0.00,0.00,0.00,Puzzle,Bomberman '94,TG16,Hudson Soft,80018,1993
18,0.00,0.00,0.00,0.00,0.00,Strategy,Naruto: Shinobi no Sato no Jintori Kassen,PS,Namco Bandai Games,80019,2003
19,0.00,0.00,0.00,0.00,0.00,Puzzle,Quarth,Wii,Konami Digital Entertainment,80020,2010
20,0.00,0.00,0.00,0.00,0.00,Strategy,Retro Bounce,iOS,N/A,80021,N/A
21,0.00,0.00,0.00,0.00,0.00,Action,Born To Tap,iOS,N/A,80022,N/A
22,0.00,0.00,0.00,0.00,0.00,Action,Highway Crash Derby,iOS,N/A,80023,N/A
23,0.00,0.00,0.00,0.00,0.00,Action,G??,iOS,N/A,80024,N/A
24,0.00,0.00,0.00,0.00,0.00,Action,Yoga Time!,iOS,N/A,80025,N/A
