,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
0,0.00,0.00,0.00,0.00,0.00,Action,WhatShare-App,iOS,N/A,180001,N/A
1,0.00,0.00,0.00,0.00,0.00,Platform,X-Men: Wolverine's Rage,GB,Activision,180002,2001
2,0.00,0.00,0.00,0.00,0.00,Action,Agent Hugo: Roborumble,GBA,ITE Media,180003,2007
3,0.00,0.00,0.00,0.00,0.00,Puzzle,US History Quiz 401,iOS,N/A,180004,N/A
4,0.00,0.00,0.00,0.00,0.00,Puzzle,Magic Word Tower,iOS,N/A,180005,N/A
5,0.00,0.00,0.00,0.00,0.00,Action,Sky Gamblers: Cold War,iOS,N/A,180006,N/A
6,0.00,0.00,0.00,0.00,0.00,Action,Boy Skins for Minecraft PE 2 - Free Skin for Pocket Edition,iOS,N/A,180007,N/A
7,0.00,0.00,0.00,0.00,0.00,Action,TouchBase Enterprise,iOS,N/A,180008,N/A
8,0.00,0.00,0.00,0.00,0.00,Action,Slots Advanced Favorites 777 - Vegas Paradise Casino,iOS,N/A,180009,N/A
9,0.00,0.00,0.00,0.00,0.00,Action,A Power Rope Slider - Attack Clan Amazing,iOS,N/A,180010,N/A
10,0.00,0.00,0.00,0.00,0.00,Action,101 Titans Of Vegas Vegas Paradise - Entertainment City,iOS,N/A,180011,N/A
11,0.00,0.00,0.00,0.00,0.00,Action,Easy Exchange,iOS,N/A,180012,N/A
12,0.00,0.00,0.00,0.00,0.00,Action,Dark Spider,iOS,N/A,180013,N/A
13,0.00,0.00,0.00,0.00,0.00,Action,Bowling Central 2,iOS,N/A,180014,N/A
14,0.00,0.00,0.00,0.00,0.00,Action,CasaDigi MyMedia,iOS,N/A,180015,N/A
15,0.00,0.00,0.00,0.00,0.00,Action,Pizza Napoli Pfaffenhofen,iOS,N/A,180016,N/A
16,0.00,0.00,0.00,0.00,0.00,Action,WiFi?????,iOS,N/A,180017,N/A
17,0.00,0.00,0.00,0.00,0.00,Action,A??-???,iOS,N/A,180018,N/A
18,0.00,0.00,0.00,0.00,0.00,Action,USAPL Scoring App,iOS,N/A,180019,N/A
19,0.00,0.00,0.00,0.00,0.00,Action,Logic Game Locked Chambers,iOS,N/A,180020,N/A
20,0.00,0.00,0.00,0.00,0.00,Role-Playing,Ultima Online: Renaissance,PC,Electronic Arts,180021,2000
21,0.00,0.00,0.00,0.00,0.00,Misc,Odd Diseases: Genetics,iOS,N/A,180022,N/A
