,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
0,0.00,0.00,0.00,0.00,0.00,Action,Home Alone 2: Lost in New York,PC,Capstone Software,130001,1991
1,0.00,0.00,0.00,0.00,0.00,Adventure,Where's Waldo? (TM) The Fantastic Journey,iOS,N/A,130002,N/A
2,0.00,0.00,0.00,0.00,0.00,Misc,Meet the Vowels Flashcards,iOS,N/A,130003,N/A
3,0.00,0.00,0.00,0.00,0.00,Action,Tozzle  - Toddlers favorite puzzle,iOS,N/A,130004,N/A
4,0.00,0.00,0.00,0.00,0.00,Shooter,Platypus,PC,N/A,130005,N/A
5,0.00,0.00,0.00,0.00,0.00,Action,NH???? 1 minute,iOS,N/A,130006,N/A
6,0.00,0.00,0.00,0.00,0.00,Action,Advanced Casino Royal Gambler Slots Game - FREE Vegas Spin & Win,iOS,N/A,130007,N/A
7,0.00,0.00,0.00,0.00,0.00,Action,Mental calculation - train your skills,iOS,N/A,130008,N/A
8,0.00,0.00,0.00,0.00,0.00,Action,InMapz,iOS,N/A,130009,N/A
9,0.00,0.00,0.00,0.00,0.00,Action,NBA Escape,iOS,N/A,130010,N/A
10,0.00,0.00,0.00,0.00,0.00,Action,Panchang 2017,iOS,N/A,130011,N/A
11,0.00,0.00,0.00,0.00,0.00,Action,Spin it Rich!! Casino & Slot - Free Slot Machines,iOS,N/A,130012,N/A
12,0.00,0.00,0.00,0.00,0.00,Action,HS Cards,iOS,N/A,130013,N/A
13,0.00,0.00,0.00,0.00,0.00,Action,Coloring animal noises for kids,iOS,N/A,130014,N/A
14,0.00,0.00,0.00,0.00,0.00,Action,Moeders.nu,iOS,N/A,130015,N/A
15,0.00,0.00,0.00,0.00,0.00,Action,J-Sounds,iOS,N/A,130016,N/A
16,0.00,0.00,0.00,0.00,0.00,Action,MBK GROUP,iOS,N/A,130017,N/A
17,0.00,0.00,0.00,0.00,0.00,Action,Real Text Matcher,iOS,N/A,130018,N/A
18,0.00,0.00,0.00,0.00,0.00,Action,Direct Media Curaao,iOS,N/A,130019,N/A
19,0.00,0.00,0.00,0.00,0.00,Adventure,King's Quest: Quest for the Crown,MS,Parker Bros.,130020,1988
20,0.00,0.00,0.00,0.00,0.00,Misc,Checkers,iOS,Apple,130021,2010
21,0.00,0.00,0.00,0.00,0.00,Misc,City of Love,iOS,N/A,130022,N/A
