,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
0,0.00,0.00,0.00,0.00,0.00,Sports,Madden '95,GB,Malibu Games,60001,1993
1,0.00,0.00,0.00,0.00,0.00,Action,Zombie Cannon Carnage,iOS,Freeverse,60002,2010
2,0.00,0.00,0.00,0.00,0.00,Action,uSnap!,iOS,N/A,60003,N/A
3,0.00,0.00,0.00,0.00,0.00,Action,CommBridge Solutions.,iOS,N/A,60004,N/A
4,0.00,0.00,0.00,0.00,0.00,Sports,Footy Flick Pro,iOS,N/A,60005,N/A
5,0.00,0.00,0.00,0.00,0.00,Action,Awesome Casino Slots Of Las VeGas:Spin Slots Machines!!,iOS,N/A,60006,N/A
6,0.00,0.00,0.00,0.00,0.00,Action,Psychiatry6800 Flashcards,iOS,N/A,60007,N/A
7,0.00,0.00,0.00,0.00,0.00,Action,Clickarus,iOS,N/A,60008,N/A
8,0.00,0.00,0.00,0.00,0.00,Action,Sweet Jam Mania: Frui Juicy,iOS,N/A,60009,N/A
9,0.00,0.00,0.00,0.00,0.00,Action,Hipster Sticker Camera Studio - Apply Face Stickers for Pictures with Funny Photo Editor,iOS,N/A,60010,N/A
10,0.00,0.00,0.00,0.00,0.00,Action,Wild Arctic Bear Survival Simulator 3D Full,iOS,N/A,60011,N/A
11,0.00,0.00,0.00,0.00,0.00,Action,Archer Arrows On The Big Stone PRO - Arrows Game,iOS,N/A,60012,N/A
12,0.00,0.00,0.00,0.00,0.00,Action,Noel fun Amazing slots: Vegas game!,iOS,N/A,60013,N/A
13,0.00,0.00,0.00,0.00,0.00,Action,A Penguin In Love Capturing Hearts PRO,iOS,N/A,60014,N/A
14,0.00,0.00,0.00,0.00,0.00,Action,PARADIGM GYMS,iOS,N/A,60015,N/A
15,0.00,0.00,0.00,0.00,0.00,Action,"Moving! Townscape,Holiday light,Fireworks",iOS,N/A,60016,N/A
16,0.00,0.00,0.00,0.00,0.00,Action,The Beauty Boutique Surrey,iOS,N/A,60017,N/A
17,0.00,0.00,0.00,0.00,0.00,Misc,Nickelodeon Party Blast,PS2,Unknown,60018,N/A
18,0.00,0.00,0.00,0.00,0.00,Fighting,Super B-Daman: Fighting Phoenix,GB,Hudson Soft,60019,1997
19,0.00,0.00,0.00,0.00,0.00,Misc,Bust a Wall,X360,Microsoft Game Studios,60020,2009
20,0.00,0.00,0.00,0.00,0.00,Shooter,Geimos,NES,ASCII Entertainment,60021,1985
21,0.00,0.00,0.00,0.00,0.00,Misc,Ragdoll Rescue,iOS,N/A,60022,N/A
22,0.00,0.00,0.00,0.00,0.00,Adventure,Tantei Opera Milky Holmes 1.5 Dai-3-Wa: Norowareshi Maken,PS3,Unknown,60023,2011
23,0.00,0.00,0.00,0.00,0.00,Action,Islamic Muslim Videos,iOS,N/A,60024,N/A
24,0.00,0.00,0.00,0.00,0.00,Action,33rd Division,iOS,N/A,60025,N/A
25,0.00,0.00,0.00,0.00,0.00,Action,Win Gold of Glory Casino - Free Las Vegas Games,iOS,N/A,60026,N/A
26,0.00,0.00,0.00,0.00,0.00,Shooter,Shadow Warrior (2013),XOne,N/A,60027,2014
27,0.00,0.00,0.00,0.00,0.00,Action,LA VOZ DEL FANATICO,iOS,N/A,60028,N/A
28,0.00,0.00,0.00,0.00,0.00,Action,Tap Dhikr,iOS,N/A,60029,N/A
29,0.00,0.00,0.00,0.00,0.00,Action,Pixelmon Mods FREE - Game Wiki & Tools for MineCraft PC Guide Edition,iOS,N/A,60030,N/A
30,0.00,0.00,0.00,0.00,0.00,Action,Biker Highway X Pro,iOS,N/A,60031,N/A
31,0.00,0.00,0.00,0.00,0.00,Action,Kids Mini Penguin Coloring Page Game Free Version,iOS,N/A,60032,N/A
32,0.00,0.00,0.00,0.00,0.00,Action,Moudio pulse-Feel the music,iOS,N/A,60033,N/A
33,0.00,0.00,0.00,0.00,0.00,Action,LaserHIT,iOS,N/A,60034,N/A
34,0.00,0.00,0.00,0.00,0.00,Action,TopTile Contest,iOS,N/A,60035,N/A
35,0.00,0.00,0.00,0.00,0.00,Action,????? ????????!!,iOS,N/A,60036,N/A
36,0.00,0.00,0.00,0.00,0.00,Action,Radio Swiss,iOS,N/A,60037,N/A
37,0.00,0.00,0.00,0.00,0.00,Action,Volcano Endless,iOS,N/A,60038,N/A
38,0.00,0.00,0.00,0.00,0.00,Misc,Austin Powers Operation: Trivia,PC,Vivendi Games,60039,1999
39,0.00,0.00,0.00,0.00,0.00,Racing,Test Drive: Off-Road,PC,Accolade,60040,1997
40,0.00,0.00,0.00,0.00,0.00,Misc,Chick Hatcher,iOS,N/A,60041,N/A
41,0.00,0.00,0.00,0.00,0.00,Shooter,Invaders World Tour 3,iOS,N/A,60042,N/A
42,0.00,0.00,0.00,0.00,0.00,Action,A Show Down Slots Jukebox 10000 Jackpots FREE Casino,iOS,N/A,60043,N/A
43,0.00,0.00,0.00,0.00,0.00,Action,G.I. JOE: BATTLEGROUND,iOS,N/A,60044,N/A
