,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
0,0.00,0.00,0.00,0.00,0.00,Action,Quick Hit Rich Pirates Slots - FREE Vegas Casino Machines,iOS,N/A,120001,N/A
1,0.00,0.00,0.00,0.00,0.00,Action,Leapy Toad,iOS,N/A,120002,N/A
2,0.00,0.00,0.00,0.00,0.00,Action,Madrid Music Days,iOS,N/A,120003,N/A
3,0.00,0.00,0.00,0.00,0.00,Action,Ultimate Jewel Match 3,iOS,N/A,120004,N/A
4,0.00,0.00,0.00,0.00,0.00,Action,"Nursing: Infection Control Test Bank & Exam Review App - 1400 Flashcards Study Notes - Terms, Concepts & Quiz",iOS,N/A,120005,N/A
5,0.00,0.00,0.00,0.00,0.00,Action,AFastballGhost : Crossing the level,iOS,N/A,120006,N/A
6,0.00,0.00,0.00,0.00,0.00,Action,My Tattoo Artist,iOS,N/A,120007,N/A
7,0.00,0.00,0.00,0.00,0.00,Action,A Slotto Las Vegas Avalon Lucky Slots Game,iOS,N/A,120008,N/A
8,0.00,0.00,0.00,0.00,0.00,Action,BookTableTrack,iOS,N/A,120009,N/A
9,0.00,0.00,0.00,0.00,0.00,Action,Desy Mobile - Driver Ed Student Drive Assessment,iOS,N/A,120010,N/A
10,0.00,0.00,0.00,0.00,0.00,Action,Impossible Water Bottle Flip - Jump Challenge,iOS,N/A,120011,N/A
11,0.00,0.00,0.00,0.00,0.00,Action,Sugar Smash: Book of Life,iOS,N/A,120012,N/A
12,0.00,0.00,0.00,0.00,0.00,Action,Waterly - Best Water Tracker and Daily Reminder,iOS,N/A,120013,N/A
13,0.00,0.00,0.00,0.00,0.00,Action,Contixo F8,iOS,N/A,120014,N/A
14,0.00,0.00,0.00,0.00,0.00,Puzzle,Ka-blooey,SNES,Kemco,120015,1990
15,0.00,0.00,0.00,0.00,0.00,Role-Playing,Might and Magic VIII: Day of the Destroyer,PC,3DO,120016,2000
16,0.00,0.00,0.00,0.00,0.00,Role-Playing,Ishar Compilation,PC,DotEmu,120017,1994
17,0.00,0.00,0.00,0.00,0.00,Puzzle,Planet Crossword,iOS,N/A,120018,N/A
18,0.00,0.00,0.00,0.00,0.00,Action,Sunny Seeds 2,iOS,N/A,120019,N/A
19,0.00,0.00,0.00,0.00,0.00,Action,888 Casino Cezar Rome Slot - Free Game Machine Slots,iOS,N/A,120020,N/A
20,0.00,0.00,0.00,0.00,0.00,Action,Florida Blue Foundation,iOS,N/A,120021,N/A
21,0.00,0.00,0.00,0.00,0.00,Action,Metal Fly Wings 3D Game Pro,iOS,N/A,120022,N/A
22,0.00,0.00,0.00,0.00,0.00,Action,Moto Xtreme Race Pro - Road Real Bike Game,iOS,N/A,120023,N/A
23,0.00,0.00,0.00,0.00,0.00,Action,Ambassadors Union Hungary,iOS,N/A,120024,N/A
24,0.00,0.00,0.00,0.00,0.00,Action,Kahraman Bfe,iOS,N/A,120025,N/A
25,0.00,0.00,0.00,0.00,0.00,Action,????--?????VI?????,iOS,N/A,120026,N/A
26,0.00,0.00,0.00,0.00,0.00,Action,Jewel Saga 2017,iOS,N/A,120027,N/A
27,0.00,0.00,0.00,0.00,0.00,Action,Action Clash Race: A Black Strike Road,iOS,N/A,120028,N/A
28,0.00,0.00,0.00,0.00,0.00,Action,A Extreme Tractor,iOS,N/A,120029,N/A
29,0.00,0.00,0.00,0.00,0.00,Action,Worm Scream - Hungry Color Snake,iOS,N/A,120030,N/A
30,0.00,0.00,0.00,0.00,0.00,Action,Gare ciclismo FCI,iOS,N/A,120031,N/A
31,0.00,0.00,0.00,0.00,0.00,Action,Logico,iOS,N/A,120032,N/A
32,0.00,0.00,0.00,0.00,0.00,Action,2017 Police Car Driver Simulator Free Driving Game,iOS,N/A,120033,N/A
