,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
0,0.00,0.00,0.00,0.00,0.00,Action,Dead Phoenix,GC,Unknown,110001,2020
1,0.00,0.00,0.00,0.00,0.00,Adventure,Ma-Gi: Marginal,DC,Princess Soft,110002,2003
2,0.00,0.00,0.00,0.00,0.00,Action,Prince of Persia Trilogy,PS2,Ubisoft,110003,2006
3,0.00,0.00,0.00,0.00,0.00,Shooter,Bio-Hazard Battle,PC,Sega,110004,2010
4,0.00,0.00,0.00,0.00,0.00,Misc,Distant Assassin Reload: Sniper Trainer,iOS,N/A,110005,N/A
5,0.00,0.00,0.00,0.00,0.00,Action,Blokzilla,iOS,N/A,110006,N/A
6,0.00,0.00,0.00,0.00,0.00,Action,Zombies Escape,iOS,N/A,110007,N/A
7,0.00,0.00,0.00,0.00,0.00,Action,12 Days of Disney,iOS,N/A,110008,N/A
8,0.00,0.00,0.00,0.00,0.00,Simulation,The Sims 4: Get to Work,PC,Electronic Arts,110009,2015
9,0.00,0.00,0.00,0.00,0.00,Action,Tidal Tube - Free Mp3 Streamer and Playlist Manager for YouTube,iOS,N/A,110010,N/A
10,0.00,0.00,0.00,0.00,0.00,Action,SSF Storia,iOS,N/A,110011,N/A
11,0.00,0.00,0.00,0.00,0.00,Action,Double U Double U All In Win Cash Machine FREE,iOS,N/A,110012,N/A
12,0.00,0.00,0.00,0.00,0.00,Action,???????????mega??????????????vip??????,iOS,N/A,110013,N/A
13,0.00,0.00,0.00,0.00,0.00,Action,Four Leaf Clover Game,iOS,N/A,110014,N/A
14,0.00,0.00,0.00,0.00,0.00,Role-Playing,Jade Empire: Special Edition,iOS,N/A,110015,N/A
15,0.00,0.00,0.00,0.00,0.00,Action,A Fight Race Champ: Battle Dominations Race,iOS,N/A,110016,N/A
16,0.00,0.00,0.00,0.00,0.00,Action,Pop Makeup Bar,iOS,N/A,110017,N/A
17,0.00,0.00,0.00,0.00,0.00,Action,Kmesinden,iOS,N/A,110018,N/A
18,0.00,0.00,0.00,0.00,0.00,Action,Perth International Boat Show,iOS,N/A,110019,N/A
19,0.00,0.00,0.00,0.00,0.00,Action,I Read Rhythm,iOS,N/A,110020,N/A
20,0.00,0.00,0.00,0.00,0.00,Action,Local Ride Network,iOS,N/A,110021,N/A
21,0.00,0.00,0.00,0.00,0.00,Puzzle,Q*bert,NES,Ultra Games,110022,1988
22,0.00,0.00,0.00,0.00,0.00,Misc,Paint Party,X360,N/A,110023,N/A
23,0.00,0.00,0.00,0.00,0.00,Platform,Landit Bandit,PS3,Unknown,110024,2010
24,0.00,0.00,0.00,0.00,0.00,Misc,Successfully Learning German Year 4,DS,N/A,110025,N/A
25,0.00,0.00,0.00,0.00,0.00,Puzzle,MatchAnimals,iOS,N/A,110026,N/A
26,0.00,0.00,0.00,0.00,0.00,Action,Happy Jump,iOS,N/A,110027,N/A
27,0.00,0.00,0.00,0.00,0.00,Action,2016 New Jackpot Party Royal Gambler Slots Game - FREE Classic Slots,iOS,N/A,110028,N/A
28,0.00,0.00,0.00,0.00,0.00,Action,Fast Tap!,iOS,N/A,110029,N/A
29,0.00,0.00,0.00,0.00,0.00,Action,"????2????,???????",iOS,N/A,110030,N/A
30,0.00,0.00,0.00,0.00,0.00,Action,Dash High To Sky - impossible game,iOS,N/A,110031,N/A
31,0.00,0.00,0.00,0.00,0.00,Action,"???-???????????,??????????",iOS,N/A,110032,N/A
32,0.00,0.00,0.00,0.00,0.00,Action,The Brow Boutique,iOS,N/A,110033,N/A
33,0.00,0.00,0.00,0.00,0.00,Action,Okayama AR,iOS,N/A,110034,N/A
34,0.00,0.00,0.00,0.00,0.00,Action,CF - Codice Fiscale,iOS,N/A,110035,N/A
35,0.00,0.00,0.00,0.00,0.00,Action,Bee-Safe Plants,iOS,N/A,110036,N/A
36,0.00,0.00,0.00,0.00,0.00,Action,Trace Place,iOS,N/A,110037,N/A
37,0.00,0.00,0.00,0.00,0.00,Action,1945 Legend,iOS,N/A,110038,N/A
38,0.00,0.00,0.00,0.00,0.00,Action,KH Radio,iOS,N/A,110039,N/A
39,0.00,0.00,0.00,0.00,0.00,Action,TrackIT HC,iOS,N/A,110040,N/A
40,0.00,0.00,0.00,0.00,0.00,Sports,Caveman Games,NES,Data East,110041,1990
41,0.00,0.00,0.00,0.00,0.00,Adventure,Kamaitachi no Yoru,Wii,ChunSoft,110042,2007
42,0.00,0.00,0.00,0.00,0.00,Misc,Outside The Box 1,iOS,Unknown,110043,2009
