,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
0,0.00,0.00,0.00,0.00,0.00,Action,DTag,iOS,N/A,50001,N/A
1,0.00,0.00,0.00,0.00,0.00,Action,Rodenstock VIP,iOS,N/A,50002,N/A
2,0.00,0.00,0.00,0.00,0.00,Action,Capital Pilates Studio,iOS,N/A,50003,N/A
3,0.00,0.00,0.00,0.00,0.00,Action,Bow Arrow The Castle Battle: Crossbow Shooting,iOS,N/A,50004,N/A
4,0.00,0.00,0.00,0.00,0.00,Action,Mikado Ryotei,iOS,N/A,50005,N/A
5,0.00,0.00,0.00,0.00,0.00,Action,Pirates Toy Block Pop Puzzle Adventure,iOS,N/A,50006,N/A
6,0.00,0.00,0.00,0.00,0.00,Action,Borders!,iOS,N/A,50007,N/A
7,0.00,0.00,0.00,0.00,0.00,Action,Airplane Flying Simulator,iOS,N/A,50008,N/A
8,0.00,0.00,0.00,0.00,0.00,Platform,New Adventure Island,PS3,Hudson Soft,50009,2009
9,0.00,0.00,0.00,0.00,0.00,Misc,myNotebook: Tan,DS,Nnooo,50010,2010
10,0.00,0.00,0.00,0.00,0.00,Puzzle,Universal Storm,iOS,N/A,50011,N/A
11,0.00,0.00,0.00,0.00,0.00,Misc,Nimp Rider,iOS,N/A,50012,N/A
12,0.00,0.00,0.00,0.00,0.00,Action,NxtApp 4 Kids,iOS,N/A,50013,N/A
13,0.00,0.00,0.00,0.00,0.00,Action,Starlite Astronaut Academy: G-Ball,PC,N/A,50014,N/A
14,0.00,0.00,0.00,0.00,0.00,Action,SmartPark,iOS,N/A,50015,N/A
15,0.00,0.00,0.00,0.00,0.00,Action,Mirage of Nevada Vegas Party Slots - Free Slot Machine Tournament Game,iOS,N/A,50016,N/A
16,0.00,0.00,0.00,0.00,0.00,Action,DispatchCube,iOS,N/A,50017,N/A
17,0.00,0.00,0.00,0.00,0.00,Action,NOMOCa,iOS,N/A,50018,N/A
18,0.00,0.00,0.00,0.00,0.00,Action,Image Touch,iOS,N/A,50019,N/A
19,0.00,0.00,0.00,0.00,0.00,Role-Playing,Dungeons & Dragons: Order of the Griffon,TG16,Turbo Technologies,50020,1991
20,0.00,0.00,0.00,0.00,0.00,Action,chinaparking.org,iOS,N/A,50021,N/A
21,0.00,0.00,0.00,0.00,0.00,Action,SITCE 2016,iOS,N/A,50022,N/A
22,0.00,0.00,0.00,0.00,0.00,Action,A Duck Flying Pro : Hunting Sport the Best,iOS,N/A,50023,N/A
23,0.00,0.00,0.00,0.00,0.00,Action,Cool Bearded Man Stickers!,iOS,N/A,50024,N/A
24,0.00,0.00,0.00,0.00,0.00,Action,Zewatchers Holland,iOS,N/A,50025,N/A
25,0.00,0.00,0.00,0.00,0.00,Action,Fasano Trancoso,iOS,N/A,50026,N/A
26,0.00,0.00,0.00,0.00,0.00,Action,Property Perfect,iOS,N/A,50027,N/A
27,0.00,0.00,0.00,0.00,0.00,Action,hair resort Noah,iOS,N/A,50028,N/A
28,0.00,0.00,0.00,0.00,0.00,Action,Labotist - Technician,iOS,N/A,50029,N/A
29,0.00,0.00,0.00,0.00,0.00,Action,PUFF?? - ?? ???,iOS,N/A,50030,N/A
30,0.00,0.00,0.00,0.00,0.00,Strategy,The Nations: Gold Edition,PC,JoWood Productions,50031,2000
31,0.00,0.00,0.00,0.00,0.00,Misc,Stuff That Critter,iOS,Unknown,50032,2011
32,0.00,0.00,0.00,0.00,0.00,Shooter,Plane Wars,iOS,N/A,50033,N/A
33,0.00,0.00,0.00,0.00,0.00,Strategy,Plants vs. Zombies,DSi,N/A,50034,N/A
34,0.00,0.00,0.00,0.00,0.00,Simulation,My Foal 3D,3DS,Silver Fox Media,50035,2011
35,0.00,0.00,0.00,0.00,0.00,Action,Can You Escape Frightening Evil Rooms? - Challenge Scary Room Escape,iOS,N/A,50036,N/A
36,0.00,0.00,0.00,0.00,0.00,Action,An Angry Ninja Shot - The Best Game Archery,iOS,N/A,50037,N/A
37,0.00,0.00,0.00,0.00,0.00,Action,Amazing Blitz Word - The Best Bombin,iOS,N/A,50038,N/A
38,0.00,0.00,0.00,0.00,0.00,Action,iScot Magazine,iOS,N/A,50039,N/A
39,0.00,0.00,0.00,0.00,0.00,Action,FINAL FANTASY BRAVE EXVIUS,iOS,N/A,50040,N/A
40,0.00,0.00,0.00,0.00,0.00,Platform,Dragon's Lair,3DO,T&E Soft,50041,1993
41,0.00,0.00,0.00,0.00,0.00,Sports,Backyard NFL Football,PC,GT Interactive,50042,1998
42,0.00,0.00,0.00,0.00,0.00,Action,Papas Peri Peri,iOS,N/A,50043,N/A
43,0.00,0.00,0.00,0.00,0.00,Action,Halloween Slots: Play Free Slot Machines,iOS,N/A,50044,N/A
44,0.00,0.00,0.00,0.00,0.00,Action,Fortune Slots Summer  - Free Casino Coins Offline,iOS,N/A,50045,N/A
45,0.00,0.00,0.00,0.00,0.00,Action,Jumping Bottle,iOS,N/A,50046,N/A
46,0.00,0.00,0.00,0.00,0.00,Action,Coloring Book For Children And Boat Games,iOS,N/A,50047,N/A
47,0.00,0.00,0.00,0.00,0.00,Action,Guapor Web Rdio,iOS,N/A,50048,N/A
48,0.00,0.00,0.00,0.00,0.00,Action,S1,iOS,N/A,50049,N/A
49,0.00,0.00,0.00,0.00,0.00,Action,?????? ?????? - ??????,iOS,N/A,50050,N/A
50,0.00,0.00,0.00,0.00,0.00,Simulation,Star Trek: Starship Creator Deluxe,PC,Simon & Schuster Interactive,50051,1998
51,0.00,0.00,0.00,0.00,0.00,Simulation,Tadaima Wakusei Kaitakunaka!,SAT,Altron,50052,1995
52,0.00,0.00,0.00,0.00,0.00,Shooter,Serious Sam 3: BFE,PS3,Unknown,50053,N/A
53,0.00,0.00,0.00,0.00,0.00,Action,Quad Bubble Extreme,iOS,N/A,50054,N/A
54,0.00,0.00,0.00,0.00,0.00,Action,Birds Game,iOS,N/A,50055,N/A
55,0.00,0.00,0.00,0.00,0.00,Action,Zelgor,iOS,N/A,50056,N/A
