,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
0,0.00,0.00,0.00,0.00,0.00,Action,Punjabi Dictionary GoldEdition,iOS,N/A,160001,N/A
1,0.00,0.00,0.00,0.00,0.00,Action,FGO.ro,iOS,N/A,160002,N/A
2,0.00,0.00,0.00,0.00,0.00,Action,Danmaku Unlimited 3,iOS,N/A,160003,N/A
3,0.00,0.00,0.00,0.00,0.00,Misc,Simple DS Series Vol. 38: Arc de Manabu! Toeic Test Hajimete Hen,DS,D3Publisher,160004,2008
4,0.00,0.00,0.00,0.00,0.00,Misc,Crazy Coins,X360,Microsoft Game Studios,160005,2009
5,0.00,0.00,0.00,0.00,0.00,Misc,Neon Genesis Evangelion Digital Card Library,SAT,Sega,160006,1997
6,0.00,0.00,0.00,0.00,0.00,Misc,Speed,iOS,N/A,160007,N/A
7,0.00,0.00,0.00,0.00,0.00,Action,3D Frog Frenzy,PC,Unknown,160008,1998
8,0.00,0.00,0.00,0.00,0.00,Strategy,EndWar Online,PCFX,N/A,160009,N/A
9,0.00,0.00,0.00,0.00,0.00,Action,?????????2016,iOS,N/A,160011,N/A
10,0.00,0.00,0.00,0.00,0.00,Action,Lucky Play Casino Wild Dolphins Clash Game - Free Slots Game,iOS,N/A,160012,N/A
11,0.00,0.00,0.00,0.00,0.00,Puzzle,BEYOND,iOS,N/A,160013,N/A
12,0.00,0.00,0.00,0.00,0.00,Action,Colored Walk,iOS,N/A,160014,N/A
13,0.00,0.00,0.00,0.00,0.00,Action,ChrisMoji by Chris Perry,iOS,N/A,160015,N/A
14,0.00,0.00,0.00,0.00,0.00,Action,Coin Soleil,iOS,N/A,160016,N/A
15,0.00,0.00,0.00,0.00,0.00,Action,??????????:???????,iOS,N/A,160017,N/A
16,0.00,0.00,0.00,0.00,0.00,Action,Country Music RingTones & Top Songs Playlist,iOS,N/A,160018,N/A
17,0.00,0.00,0.00,0.00,0.00,Action,Mubarek Cuma,iOS,N/A,160019,N/A
18,0.00,0.00,0.00,0.00,0.00,Action,AndyRDH Board Review for NBDHE Exam Prep,iOS,N/A,160020,N/A
19,0.00,0.00,0.00,0.00,0.00,Action,Dell PartnerDirect China,iOS,N/A,160021,N/A
20,0.00,0.00,0.00,0.00,0.00,Action,Ome Wellness,iOS,N/A,160022,N/A
21,0.00,0.00,0.00,0.00,0.00,Action,ice gream pirates-Civet cats guard war,iOS,N/A,160023,N/A
22,0.00,0.00,0.00,0.00,0.00,Puzzle,ABC Island,PC,Unknown,160024,2007
23,0.00,0.00,0.00,0.00,0.00,Role-Playing,Marie to Elie no Atelier: Salburg no Renkinjutsushi 1&2,DC,Kool Kizz,160025,2001
24,0.00,0.00,0.00,0.00,0.00,Action,AZ LINK,iOS,N/A,160026,N/A
25,0.00,0.00,0.00,0.00,0.00,Platform,Meganoid,iOS,N/A,160027,N/A
26,0.00,0.00,0.00,0.00,0.00,Action,Airport Scanner,iOS,N/A,160028,N/A
27,0.00,0.00,0.00,0.00,0.00,Action,Worldcraft 2,iOS,N/A,160029,N/A
28,0.00,0.00,0.00,0.00,0.00,Action,Legend Auto Group Service,iOS,N/A,160030,N/A
29,0.00,0.00,0.00,0.00,0.00,Action,SceneRunner:  Titus Andronicus,iOS,N/A,160031,N/A
